date,categorie,defm
2000-07,B,334200
2000-07,C,619e3
2000-07,D,78300
2000-07,E,150700
2000-08,A,2664400
2000-08,B,354700
2000-08,C,552900
2000-08,D,73800
2000-08,E,145200
2000-09,A,2579500
2000-09,B,402200
2000-09,C,602500
2000-09,D,106300
2000-09,E,145500
2000-10,A,2566600
2000-10,B,388100
2000-10,C,620300
2000-10,D,145600
2000-10,E,144600
2000-11,A,2523e3
2000-11,B,390600
2000-11,C,613800
2000-11,D,168600
2000-11,E,142700
2000-12,A,2496900
2000-12,B,392500
2000-12,C,608800
2000-12,D,15e4
2000-12,E,134900
2001-01,A,2518300
2001-01,B,395100
2001-01,C,575100
2001-01,D,157700
2001-01,E,132100
2001-02,A,2454600
2001-02,B,401700
2001-02,C,576e3
2001-02,D,161200
2001-02,E,129900
2001-03,A,2345300
2001-03,B,390600
2001-03,C,623600
2001-03,D,162200
2001-03,E,126700
2001-04,A,2262900
2001-04,B,404600
2001-04,C,621300
2001-04,D,163300
2001-04,E,121700
2001-05,A,2219500
2001-05,B,381100
2001-05,C,643800
2001-05,D,158200
2001-05,E,118600
2001-06,A,2197e3
2001-06,B,374600
2001-06,C,631400
2001-06,D,122800
2001-06,E,114300
2001-07,A,2331600
2001-07,B,337800
2001-07,C,606700
2001-07,D,73e3
2001-07,E,106400
2001-08,A,2454100
2001-08,B,358300
2001-08,C,531100
2001-08,D,67e3
2001-08,E,103e3
2001-09,A,2436500
2001-09,B,407800
2001-09,C,570500
2001-09,D,9e4
2001-09,E,101e3
2001-10,A,2497e3
2001-10,B,396100
2001-10,C,594300
2001-10,D,116400
2001-10,E,97100
2001-11,A,2541100
2001-11,B,403100
2001-11,C,573200
2001-11,D,143100
2001-11,E,99200
2001-12,A,2536900
2001-12,B,413500
2001-12,C,570900
2001-12,D,139300
2001-12,E,95900
2002-01,A,2599500
2002-01,B,413400
2002-01,C,542400
2002-01,D,159100
2002-01,E,100100
2002-02,A,2556700
2002-02,B,426600
2002-02,C,533900
2002-02,D,165900
2002-02,E,103800
2002-03,A,2485e3
2002-03,B,415700
2002-03,C,574700
2002-03,D,166600
2002-03,E,107800
2002-04,A,2419200
2002-04,B,416300
2002-04,C,598100
2002-04,D,173300
2002-04,E,112e3
2002-05,A,2373100
2002-05,B,41e4
2002-05,C,590900
2002-05,D,169e3
2002-05,E,118200
2002-06,A,2360500
2002-06,B,397300
2002-06,C,588400
2002-06,D,128e3
2002-06,E,123100
2002-07,A,2490900
2002-07,B,357700
2002-07,C,587700
2002-07,D,78300
2002-07,E,121800
2002-08,A,2611300
2002-08,B,387500
2002-08,C,490300
2002-08,D,68100
2002-08,E,119400
2002-09,A,2585300
2002-09,B,433900
2002-09,C,56e4
2002-09,D,100800
2002-09,E,120700
2002-10,A,2618400
2002-10,B,423900
2002-10,C,582800
2002-10,D,133700
2002-10,E,12e4
2002-11,A,2650200
2002-11,B,43e4
2002-11,C,553300
2002-11,D,154800
2002-11,E,121e3
2002-12,A,2650300
2002-12,B,432100
2002-12,C,562900
2002-12,D,144400
2002-12,E,113600
2003-01,A,2734700
2003-01,B,433500
2003-01,C,522400
2003-01,D,164600
2003-01,E,115700
2003-02,A,2704200
2003-02,B,443700
2003-02,C,532300
2003-02,D,170200
2003-02,E,116900
2003-03,A,2627500
2003-03,B,440900
2003-03,C,568100
2003-03,D,177100
2003-03,E,119300
2003-04,A,2546500
2003-04,B,440400
2003-04,C,591900
2003-04,D,176400
2003-04,E,115900
2003-05,A,2493900
2003-05,B,433300
2003-05,C,582600
2003-05,D,168e3
2003-05,E,119100
2003-06,A,2490400
2003-06,B,424200
2003-06,C,595e3
2003-06,D,138500
2003-06,E,116100
2003-07,A,2605500
2003-07,B,384300
2003-07,C,597500
2003-07,D,87200
2003-07,E,111100
2003-08,A,2732300
2003-08,B,422100
2003-08,C,502800
2003-08,D,75700
2003-08,E,104100
2003-09,A,2752400
2003-09,B,456900
2003-09,C,586200
2003-09,D,118e3
2003-09,E,106200
2003-10,A,2782800
2003-10,B,461e3
2003-10,C,596900
2003-10,D,154800
2003-10,E,111900
2003-11,A,2787200
2003-11,B,471e3
2003-11,C,570400
2003-11,D,175100
2003-11,E,113800
2003-12,A,2781e3
2003-12,B,469900
2003-12,C,600200
2003-12,D,161100
2003-12,E,109900
2004-01,A,2815400
2004-01,B,457900
2004-01,C,556300
2004-01,D,174e3
2004-01,E,107200
2004-02,A,2757600
2004-02,B,464600
2004-02,C,571200
2004-02,D,178300
2004-02,E,106600
2004-03,A,2659e3
2004-03,B,45e4
2004-03,C,633100
2004-03,D,191700
2004-03,E,108100
2004-04,A,2557800
2004-04,B,475e3
2004-04,C,646e3
2004-04,D,192300
2004-04,E,106700
2004-05,A,2523400
2004-05,B,472100
2004-05,C,647600
2004-05,D,178e3
2004-05,E,103800
2004-06,A,2500600
2004-06,B,459200
2004-06,C,686500
2004-06,D,148800
2004-06,E,105e3
2004-07,A,2607500
2004-07,B,429400
2004-07,C,667700
2004-07,D,85700
2004-07,E,98e3
2004-08,A,2773600
2004-08,B,446200
2004-08,C,582200
2004-08,D,84100
2004-08,E,93500
2004-09,A,2727800
2004-09,B,496900
2004-09,C,667300
2004-09,D,129100
2004-09,E,93900
2004-10,A,2752e3
2004-10,B,503200
2004-10,C,668200
2004-10,D,155100
2004-10,E,94600
2004-11,A,2790800
2004-11,B,494900
2004-11,C,662e3
2004-11,D,181800
2004-11,E,98100
2004-12,A,2763e3
2004-12,B,501500
2004-12,C,684600
2004-12,D,166400
2004-12,E,100700
2005-01,A,2846400
2005-01,B,507600
2005-01,C,617200
2005-01,D,178200
2005-01,E,99900
2005-02,A,2796900
2005-02,B,519100
2005-02,C,625600
2005-02,D,183600
2005-02,E,103200
2005-03,A,2704100
2005-03,B,503700
2005-03,C,682e3
2005-03,D,190900
2005-03,E,112600
2005-04,A,2601200
2005-04,B,517400
2005-04,C,696100
2005-04,D,184900
2005-04,E,123500
2005-05,A,2562500
2005-05,B,504500
2005-05,C,714700
2005-05,D,180100
2005-05,E,121100
2005-06,A,2507600
2005-06,B,485100
2005-06,C,728300
2005-06,D,146700
2005-06,E,109400
2005-07,A,2587100
2005-07,B,465600
2005-07,C,701200
2005-07,D,88200
2005-07,E,100700
2005-08,A,2731200
2005-08,B,473800
2005-08,C,618200
2005-08,D,90600
2005-08,E,101500
2005-09,A,2655400
2005-09,B,530800
2005-09,C,700100
2005-09,D,134700
2005-09,E,107600
2005-10,A,2668700
2005-10,B,523900
2005-10,C,680200
2005-10,D,163100
2005-10,E,115400
2005-11,A,2667200
2005-11,B,510400
2005-11,C,664500
2005-11,D,192300
2005-11,E,130100
2005-12,A,2616100
2005-12,B,516500
2005-12,C,679500
2005-12,D,183700
2005-12,E,126100
2006-01,A,2689100
2006-01,B,511100
2006-01,C,612100
2006-01,D,200200
2006-01,E,137600
2006-02,A,2623500
2006-02,B,525600
2006-02,C,606800
2006-02,D,208200
2006-02,E,144200
2006-03,A,2501200
2006-03,B,503400
2006-03,C,666200
2006-03,D,217900
2006-03,E,143200
2006-04,A,2369e3
2006-04,B,524500
2006-04,C,658100
2006-04,D,212600
2006-04,E,148400
2006-05,A,2285500
2006-05,B,495600
2006-05,C,69e4
2006-05,D,206300
2006-05,E,155800
2006-06,A,2225e3
2006-06,B,480900
2006-06,C,697e3
2006-06,D,176200
2006-06,E,161500
2006-07,A,2288900
2006-07,B,456200
2006-07,C,666400
2006-07,D,112200
2006-07,E,161800
2006-08,A,2424600
2006-08,B,462100
2006-08,C,586800
2006-08,D,112300
2006-08,E,163700
2006-09,A,2335800
2006-09,B,512300
2006-09,C,657800
2006-09,D,146800
2006-09,E,175200
2006-10,A,2367900
2006-10,B,507100
2006-10,C,635600
2006-10,D,180300
2006-10,E,184e3
2006-11,A,2355600
2006-11,B,506900
2006-11,C,622300
2006-11,D,203100
2006-11,E,191200
2006-12,A,2304800
2006-12,B,509500
2006-12,C,619300
2006-12,D,182400
2006-12,E,187100
2007-01,A,2365200
2007-01,B,495100
2007-01,C,575500
2007-01,D,202900
2007-01,E,196400
2007-02,A,2295500
2007-02,B,502300
2007-02,C,581400
2007-02,D,210300
2007-02,E,208400
2007-03,A,2179800
2007-03,B,477e3
2007-03,C,641900
2007-03,D,212500
2007-03,E,220100
2007-04,A,2073800
2007-04,B,487e3
2007-04,C,641300
2007-04,D,210300
2007-04,E,224600
2007-05,A,2016200
2007-05,B,456200
2007-05,C,662200
2007-05,D,205100
